"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Paterna";TRUE;"PETROMAX";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"TC CAMPILLO";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"ESTACION INTER PATTY";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"ANYMORE TRANSPORT, SL";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna de Rivera";FALSE;"REPSOL";1.409;1.619;1.409;1.619;1.409;1.619
"Paterna del Campo";TRUE;"PATEROIL";1.30966666666667;NA;1.389;-Inf;1.27;Inf
"Paterna del Campo";TRUE;"OLIPATERNA";1.30966666666667;NA;1.389;-Inf;1.27;Inf
"Paterna del Campo";TRUE;"S.C.A. CAMPO DE PATERNA";1.30966666666667;NA;1.389;-Inf;1.27;Inf
"Pau";FALSE;"REPSOL";1.359;NA;1.359;-Inf;1.359;Inf
"Paymogo";TRUE;"KUWAIT PETROLEUM";1.339;NA;1.339;-Inf;1.339;Inf
"Pazos de Borbén";TRUE;"A CHAN DE AMOEDO";1.409;NA;1.409;-Inf;1.409;Inf
"Peal de Becerro";FALSE;"REPSOL";1.429;NA;1.429;-Inf;1.429;Inf
"Peal de Becerro";TRUE;"SCA N.S. ENCARNACION";1.218;NA;1.218;-Inf;1.218;Inf
"Pedernoso (El)";FALSE;"CEPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Pedernoso (El)";TRUE;"SANTA ANA SOC. COOP.";1.27;NA;1.27;-Inf;1.27;Inf
"Pedrafita do Cebreiro";FALSE;"REPSOL";1.415;NA;1.415;-Inf;1.415;Inf
"Pedraja de Portillo (La)";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Pedrajas de San Esteban";TRUE;"E.S.PEDRAJAS";1.296;NA;1.296;-Inf;1.296;Inf
"Pedralba";TRUE;"PETRONOR";1.369;NA;1.369;-Inf;1.369;Inf
"Pedreguer";FALSE;"REPSOL";1.419;NA;1.439;-Inf;1.399;Inf
"Pedreguer";FALSE;"GALP";1.419;NA;1.439;-Inf;1.399;Inf
"Pedreguer";FALSE;"GALP";1.419;NA;1.439;-Inf;1.399;Inf
"Pedreguer";FALSE;"SHELL";1.419;NA;1.439;-Inf;1.399;Inf
"Pedreguer";FALSE;"SHELL";1.419;NA;1.439;-Inf;1.399;Inf
"Pedreguer";TRUE;"COMBUSELLA";1.349;NA;1.349;-Inf;1.349;Inf
"Pedrera";FALSE;"CAMPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Pedrera";TRUE;"COOPERATIVA OLIVARERA DE PEDRERA, SCA";1.25;NA;1.25;-Inf;1.25;Inf
"Pedret i Marzà";TRUE;"PETRONOR";1.359;NA;1.359;-Inf;1.359;Inf
