"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Almodóvar del Campo";TRUE;"COVICAR";NA;NA;-Inf;-Inf;Inf;Inf
"Almodóvar del Pinar";FALSE;"CAMPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Almodóvar del Río";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Almodóvar del Río";TRUE;"GEDS ALMODOVAR";1.319;NA;1.339;-Inf;1.299;Inf
"Almodóvar del Río";TRUE;"ENERQUIVIR{ SOTILLO BAJO{";1.319;NA;1.339;-Inf;1.299;Inf
"Almoguera";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Almoharín";FALSE;"CAMPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Almoharín";TRUE;"S. C. L. REGADHIGOS";1.223;NA;1.223;-Inf;1.223;Inf
"Almoines";TRUE;"BALLENOIL";1.309;NA;1.309;-Inf;1.309;Inf
"Almolda (La)";FALSE;"CEPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Almolda (La)";FALSE;"CEPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Almonacid de Toledo";TRUE;"PETROLIVA";1.287;NA;1.287;-Inf;1.287;Inf
"Almonacid de Zorita";TRUE;"ANAYA SL";1.389;NA;1.389;-Inf;1.389;Inf
"Almonacid del Marquesado";TRUE;"AGRICOLA LA CEPA SDAD. COOP. DE CLM";1.279;NA;1.279;-Inf;1.279;Inf
"Almonte";FALSE;"REPSOL";1.37766666666667;NA;1.399;-Inf;1.365;Inf
"Almonte";FALSE;"CEPSA";1.37766666666667;NA;1.399;-Inf;1.365;Inf
"Almonte";FALSE;"BP";1.37766666666667;NA;1.399;-Inf;1.365;Inf
"Almonte";TRUE;"AVIA";1.36733333333333;NA;1.379;-Inf;1.354;Inf
"Almonte";TRUE;"E.S PUERTA DOÑANA 2";1.36733333333333;NA;1.379;-Inf;1.354;Inf
"Almonte";TRUE;"BP - ES MATALASCAÑAS";1.36733333333333;NA;1.379;-Inf;1.354;Inf
"Almoradí";FALSE;"REPSOL";1.399;1.578;1.409;1.578;1.389;1.578
"Almoradí";FALSE;"BP";1.399;1.578;1.409;1.578;1.389;1.578
"Almoradí";FALSE;"CEPSA";1.399;1.578;1.409;1.578;1.389;1.578
"Almoradí";TRUE;"LAS MAROMAS";1.289;1.489;1.309;1.489;1.269;1.489
"Almoradí";TRUE;"GASOLEO EXPRES";1.289;1.489;1.309;1.489;1.269;1.489
"Almoradí";TRUE;"PETROPRIX";1.289;1.489;1.309;1.489;1.269;1.489
"Almoradí";TRUE;".ES CARBURANTES";1.289;1.489;1.309;1.489;1.269;1.489
"Almorox";TRUE;"COOPERATIVA STMO. CRISTO DE LA PIEDAD";1.289;NA;1.289;-Inf;1.289;Inf
"Almudévar";FALSE;"REPSOL";1.369;1.549;1.369;1.549;1.369;1.549
"Almudévar";TRUE;"VIRGEN DE LA CORONA";1.23;NA;1.23;-Inf;1.23;Inf
"Almunia de Doña Godina (La)";FALSE;"REPSOL";1.354;NA;1.369;-Inf;1.339;Inf
"Almunia de Doña Godina (La)";FALSE;"CEPSA";1.354;NA;1.369;-Inf;1.339;Inf
"Almunia de Doña Godina (La)";TRUE;"COSANSE";1.29033333333333;NA;1.319;-Inf;1.276;Inf
"Almunia de Doña Godina (La)";TRUE;"GASOLPRICE";1.29033333333333;NA;1.319;-Inf;1.276;Inf
"Almunia de Doña Godina (La)";TRUE;"AREA-220";1.29033333333333;NA;1.319;-Inf;1.276;Inf
"Almuñécar";FALSE;"REPSOL";1.387;NA;1.419;-Inf;1.355;Inf
"Almuñécar";FALSE;"CEPSA";1.387;NA;1.419;-Inf;1.355;Inf
"Almuñécar";TRUE;"BP ESSA";1.412;NA;1.412;-Inf;1.412;Inf
"Almuradiel";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Almuradiel";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Almussafes";TRUE;"COAGAL";1.259;NA;1.259;-Inf;1.259;Inf
"Alonsotegi";TRUE;"PETRONOR";1.449;NA;1.449;-Inf;1.449;Inf
"Álora";FALSE;"REPSOL";1.409;NA;1.409;-Inf;1.409;Inf
"Alosno";FALSE;"CEPSA";1.414;NA;1.419;-Inf;1.409;Inf
"Alosno";FALSE;"GALP";1.414;NA;1.419;-Inf;1.409;Inf
"Alovera";FALSE;"GALP";1.419;NA;1.429;-Inf;1.409;Inf
"Alovera";FALSE;"REPSOL";1.419;NA;1.429;-Inf;1.409;Inf
"Alovera";TRUE;"BALLENOIL";1.309;NA;1.309;-Inf;1.309;Inf
"Alovera";TRUE;"NATURGY";1.309;NA;1.309;-Inf;1.309;Inf
"Alozaina";TRUE;"AGLA - E.S.VISTA HEMOSA";1.346;NA;1.346;-Inf;1.346;Inf
"Alpedrete";FALSE;"CEPSA";1.419;1.609;1.419;1.609;1.419;1.609
"Alpedrete";TRUE;"PETROPRIX";1.284;NA;1.369;-Inf;1.199;Inf
"Alpedrete";TRUE;"Q8";1.284;NA;1.369;-Inf;1.199;Inf
"Alpera";TRUE;"COOPERATIVA SANTA CRUZ DE ALPERA";1.258;NA;1.258;-Inf;1.258;Inf
"Alpicat";FALSE;"REPSOL";1.429;NA;1.429;-Inf;1.429;Inf
"Alpicat";TRUE;"TOTAL";1.3465;NA;1.434;-Inf;1.259;Inf
"Alpicat";TRUE;"ESCLATOIL";1.3465;NA;1.434;-Inf;1.259;Inf
"Alpicat";TRUE;"CEPSA -ALPICAT";1.3465;NA;1.434;-Inf;1.259;Inf
"Alpuente";TRUE;"CCOOPERATIVA DE ALPUENTE";1.279;NA;1.279;-Inf;1.279;Inf
"Alquería de la Condesa/Alqueria de la Comtessa (l')";FALSE;"REPSOL";1.369;NA;1.369;-Inf;1.369;Inf
"Alquería de la Condesa/Alqueria de la Comtessa (l')";TRUE;"Q8";1.329;NA;1.329;-Inf;1.329;Inf
"Alquerías del Niño Perdido";FALSE;"CEPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Altafulla";FALSE;"REPSOL";1.431;1.625;1.439;1.625;1.425;1.625
"Altafulla";FALSE;"CEPSA";1.431;1.625;1.439;1.625;1.425;1.625
"Altafulla";FALSE;"CEPSA";1.431;1.625;1.439;1.625;1.425;1.625
"Altea";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.409;Inf
"Altea";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.409;Inf
"Altea";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.409;Inf
"Altea";FALSE;"GALP";1.4115;NA;1.419;-Inf;1.409;Inf
"Altea";TRUE;"PETROPRIX";1.332;NA;1.409;-Inf;1.255;Inf
"Altea";TRUE;"CEPSA ELF";1.332;NA;1.409;-Inf;1.255;Inf
"Altorricón";TRUE;"COOP. CAMPO S. ISIDRO";NA;NA;-Inf;-Inf;Inf;Inf
"Altsasu/Alsasua";FALSE;"CEPSA";1.391;NA;1.395;-Inf;1.389;Inf
"Altsasu/Alsasua";FALSE;"GALP";1.391;NA;1.395;-Inf;1.389;Inf
"Altsasu/Alsasua";FALSE;"GALP";1.391;NA;1.395;-Inf;1.389;Inf
"Altsasu/Alsasua";TRUE;"AVIA";1.334;NA;1.409;-Inf;1.259;Inf
"Altsasu/Alsasua";TRUE;"IDS";1.334;NA;1.409;-Inf;1.259;Inf
"Altura";TRUE;"COOP.SAGRADO CORAZON DE ALTURA";1.336;NA;1.336;-Inf;1.336;Inf
"Alzira";FALSE;"BP";1.4065;NA;1.429;-Inf;1.359;Inf
"Alzira";FALSE;"REPSOL";1.4065;NA;1.429;-Inf;1.359;Inf
"Alzira";FALSE;"CEPSA";1.4065;NA;1.429;-Inf;1.359;Inf
"Alzira";FALSE;"CEPSA";1.4065;NA;1.429;-Inf;1.359;Inf
"Alzira";TRUE;"MASOIL";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"SUMINISTROS MAZO";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"ALZICOOP CARBURANTS";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"LOW COST ALZIRA";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"PETRONOR";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"CARREFOUR";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"BALLENOIL";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"COOP. SANT BERNAT";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"BDMED";1.3038;NA;1.409;-Inf;1.209;Inf
"Alzira";TRUE;"CAMPSA EXPRESS";1.3038;NA;1.409;-Inf;1.209;Inf
"Ambel";TRUE;"COOPERATIVA DE AMBEL";NA;NA;-Inf;-Inf;Inf;Inf
"Amer";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Ames";FALSE;"GALP";1.398;NA;1.398;-Inf;1.398;Inf
"Ames";TRUE;"ESTACION DE SERVICIO NOVOMILLADOIRO";1.409;NA;1.409;-Inf;1.409;Inf
"Améscoa Baja";TRUE;"PETRONOR";1.399;NA;1.399;-Inf;1.399;Inf
"Ametlla de Mar (L')";FALSE;"REPSOL";1.4065;NA;1.409;-Inf;1.404;Inf
"Ametlla de Mar (L')";FALSE;"CEPSA";1.4065;NA;1.409;-Inf;1.404;Inf
"Ametlla de Mar (L')";TRUE;"ALAS";1.2335;NA;1.249;-Inf;1.218;Inf
"Ametlla de Mar (L')";TRUE;"JAYOMI SERVEIS";1.2335;NA;1.249;-Inf;1.218;Inf
"Ametlla del Vallès (L')";TRUE;"PETROLIS INDEPENDENTS - PETRO7";1.359;NA;1.449;-Inf;1.269;Inf
"Ametlla del Vallès (L')";TRUE;"PETROCAT";1.359;NA;1.449;-Inf;1.269;Inf
"Ameyugo";FALSE;"CEPSA";1.465;NA;1.465;-Inf;1.465;Inf
"Ameyugo";FALSE;"CEPSA";1.465;NA;1.465;-Inf;1.465;Inf
"Amorebieta-Etxano";FALSE;"REPSOL";1.449;NA;1.449;-Inf;1.449;Inf
"Amorebieta-Etxano";FALSE;"REPSOL";1.449;NA;1.449;-Inf;1.449;Inf
"Amorebieta-Etxano";FALSE;"REPSOL";1.449;NA;1.449;-Inf;1.449;Inf
"Amorebieta-Etxano";TRUE;"PETRONOR";1.459;NA;1.459;-Inf;1.459;Inf
"Amorebieta-Etxano";TRUE;"PETRONOR";1.459;NA;1.459;-Inf;1.459;Inf
"Ampolla (L')";FALSE;"GALP";1.3565;NA;1.379;-Inf;1.334;Inf
"Ampolla (L')";FALSE;"GALP";1.3565;NA;1.379;-Inf;1.334;Inf
"Ampolla (L')";TRUE;"AVIA";1.3485;NA;1.379;-Inf;1.318;Inf
"Ampolla (L')";TRUE;"PETROCAT DIRECTE";1.3485;NA;1.379;-Inf;1.318;Inf
"Amposta";FALSE;"GALP";1.3815;NA;1.409;-Inf;1.339;Inf
"Amposta";FALSE;"REPSOL";1.3815;NA;1.409;-Inf;1.339;Inf
"Amposta";FALSE;"CEPSA";1.3815;NA;1.409;-Inf;1.339;Inf
"Amposta";FALSE;"REPSOL";1.3815;NA;1.409;-Inf;1.339;Inf
"Amposta";TRUE;"CÀMARA ARROSSERA";1.2286;1.39;1.279;1.39;1.192;1.39
"Amposta";TRUE;"-";1.2286;1.39;1.279;1.39;1.192;1.39
"Amposta";TRUE;"QUALITY MONTSIÀ";1.2286;1.39;1.279;1.39;1.192;1.39
"Amposta";TRUE;"Q8";1.2286;1.39;1.279;1.39;1.192;1.39
"Amposta";TRUE;"BONAREA";1.2286;1.39;1.279;1.39;1.192;1.39
"Ampudia";FALSE;"CEPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Ampuero";FALSE;"REPSOL";1.439;NA;1.439;-Inf;1.439;Inf
"Amurrio";FALSE;"CEPSA";1.445;NA;1.445;-Inf;1.445;Inf
"Amurrio";TRUE;"ESTACIONES GB";1.379;NA;1.379;-Inf;1.379;Inf
"Amusco";TRUE;"AGROPAL";NA;NA;-Inf;-Inf;Inf;Inf
"Andilla";TRUE;"ES HIGUERUELAS";1.319;NA;1.319;-Inf;1.319;Inf
"Andoain";TRUE;"MENDIONDO S.COOP.";1.349;1.509;1.419;1.509;1.279;1.509
"Andoain";TRUE;"PETROMIRALLES";1.349;1.509;1.419;1.509;1.279;1.509
"Andorra";FALSE;"REPSOL";1.365;NA;1.365;-Inf;1.365;Inf
"Andorra";FALSE;"GALP";1.365;NA;1.365;-Inf;1.365;Inf
"Andorra";TRUE;"ESTACION DE SERVICIO";1.264;NA;1.264;-Inf;1.264;Inf
"Andosilla";TRUE;"AN ENERGETICOS ANDOSILLA";1.28;NA;1.28;-Inf;1.28;Inf
"Andratx";FALSE;"BP";1.439;NA;1.439;-Inf;1.439;Inf
"Andratx";FALSE;"REPSOL";1.439;NA;1.439;-Inf;1.439;Inf
"Andújar";FALSE;"REPSOL";1.401;1.571;1.419;1.579;1.389;1.563
"Andújar";FALSE;"CEPSA";1.401;1.571;1.419;1.579;1.389;1.563
"Andújar";FALSE;"CEPSA";1.401;1.571;1.419;1.579;1.389;1.563
"Andújar";TRUE;"SIN IMAGEN";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"MAXOIL";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"Q8";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"CARREFOUR";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"E.S. VEGAS DE TRIANA";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"E.S. ILITURGI";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"EL BALCON DE ANDALUCIA";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"MAXOIL";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"AREAPARKING 24H - BDMED";1.3477;1.589;1.429;1.589;1.167;1.589
"Andújar";TRUE;"E.S. EUROPA";1.3477;1.589;1.429;1.589;1.167;1.589
"Anglès";FALSE;"CEPSA";1.369;NA;1.389;-Inf;1.349;Inf
"Anglès";FALSE;"SHELL";1.369;NA;1.389;-Inf;1.349;Inf
"Anglesola";TRUE;"BONAREA";1.189;NA;1.189;-Inf;1.189;Inf
"Aniñón";TRUE;"SAT 2563 NIÑO JESUS";1.324;NA;1.324;-Inf;1.324;Inf
"Anna";TRUE;"ANNA";1.329;NA;1.329;-Inf;1.329;Inf
"Ansoáin";TRUE;"LA ROTXA ANSOAIN";NA;NA;-Inf;-Inf;Inf;Inf
"Antas";FALSE;"CEPSA";1.384;NA;1.399;-Inf;1.369;Inf
"Antas";FALSE;"BP";1.384;NA;1.399;-Inf;1.369;Inf
"Antas";TRUE;"E.S LEVANTE ENERGY SHELL";1.3315;NA;1.364;-Inf;1.299;Inf
"Antas";TRUE;"HNOS.MARTINEZ";1.3315;NA;1.364;-Inf;1.299;Inf
"Antas de Ulla";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Antequera";FALSE;"SHELL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"GALP";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"REPSOL";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"BP";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"CEPSA";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";FALSE;"BP";1.4115;NA;1.419;-Inf;1.389;Inf
"Antequera";TRUE;"GACOSUR ANTEQUERA";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"PLENOIL";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"NATURGY ANTEQUERA";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"IDS";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"CARREFOUR";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"ASC CARBURANTES";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"PETROPRIX";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"PLENOIL";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"SCA-N-331";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"BP  LA VEGA DE ANTEQUERA";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"BP ANTEQUERA";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antequera";TRUE;"E. S. EL TORCAL";1.30009090909091;NA;1.419;-Inf;1.187;Inf
"Antigua";FALSE;"REPSOL";1.159;NA;1.159;-Inf;1.159;Inf
"Antigua";TRUE;"DISA EL MATORRAL";1.161;NA;1.173;-Inf;1.149;Inf
"Antigua";TRUE;"CEPSA ANTIGUA";1.161;NA;1.173;-Inf;1.149;Inf
"Anue";TRUE;"MLC";1.349;NA;1.349;-Inf;1.349;Inf
"Añora";TRUE;"E.S. LOS PEDROCHES";1.339;NA;1.339;-Inf;1.339;Inf
"Añora";TRUE;"CAJILON";1.339;NA;1.339;-Inf;1.339;Inf
"Añover de Tajo";TRUE;"CARBURANTES AÑOVER";1.376;NA;1.459;-Inf;1.3;Inf
"Añover de Tajo";TRUE;"COOP. LA SAGRA";1.376;NA;1.459;-Inf;1.3;Inf
"Añover de Tajo";TRUE;"BP  ALOD";1.376;NA;1.459;-Inf;1.3;Inf
"Aoiz/Agoitz";TRUE;"ESTACION DE SERVICIO AOIZ, S.L.";1.389;NA;1.389;-Inf;1.389;Inf
"Aracena";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Aracena";TRUE;"AGLA";1.37233333333333;NA;1.379;-Inf;1.359;Inf
"Aracena";TRUE;"PETROSTAR ENERGIA";1.37233333333333;NA;1.379;-Inf;1.359;Inf
"Aracena";TRUE;"ASB ENERGIA";1.37233333333333;NA;1.379;-Inf;1.359;Inf
"Arafo";FALSE;"REPSOL";1.084;NA;1.089;-Inf;1.079;Inf
"Arafo";FALSE;"REPSOL";1.084;NA;1.089;-Inf;1.079;Inf
"Arafo";TRUE;"BP POLIGONO GUIMAR";1.094;NA;1.109;-Inf;1.079;Inf
"Arafo";TRUE;"ESTACIÓN DE SERVICIO LA HIDALGA";1.094;NA;1.109;-Inf;1.079;Inf
"Arahal";FALSE;"BP";1.4045;NA;1.409;-Inf;1.391;Inf
"Arahal";FALSE;"REPSOL";1.4045;NA;1.409;-Inf;1.391;Inf
"Arahal";FALSE;"REPSOL";1.4045;NA;1.409;-Inf;1.391;Inf
"Arahal";FALSE;"CEPSA";1.4045;NA;1.409;-Inf;1.391;Inf
"Arahal";TRUE;"BALLENOIL";1.309;NA;1.319;-Inf;1.299;Inf
"Arahal";TRUE;"S.C.A. LABRADORES DE LA CAMPIÑA";1.309;NA;1.319;-Inf;1.299;Inf
"Araitz";FALSE;"REPSOL";1.389;NA;1.389;-Inf;1.389;Inf
"Arakil";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Aranda de Duero";FALSE;"REPSOL";1.3685;NA;1.379;-Inf;1.358;Inf
"Aranda de Duero";FALSE;"CEPSA";1.3685;NA;1.379;-Inf;1.358;Inf
"Aranda de Duero";TRUE;"BP ARANDA DE DUERO";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"PETROPRIX";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"BEROIL";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"BEROIL";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"AVIA";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"VALCARCE";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"GASOLEOS ARANDA";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"NO TIENE";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"ALCAMPO";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"MOLGAS";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"DGV";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranda de Duero";TRUE;"ASEBUTRA";1.30690909090909;NA;1.379;-Inf;1.245;Inf
"Aranguren";FALSE;"REPSOL";1.424;NA;1.439;-Inf;1.409;Inf
"Aranguren";FALSE;"GALP";1.424;NA;1.439;-Inf;1.409;Inf
"Aranguren";TRUE;"LC REPOST";1.293;NA;1.299;-Inf;1.287;Inf
"Aranguren";TRUE;"MG TALLUNTXE";1.293;NA;1.299;-Inf;1.287;Inf
"Aranguren";TRUE;"AN ENERGÉTICOS";1.293;NA;1.299;-Inf;1.287;Inf
"Aranjuez";FALSE;"CEPSA";1.37233333333333;1.546;1.409;1.553;1.349;1.539
"Aranjuez";FALSE;"CEPSA";1.37233333333333;1.546;1.409;1.553;1.349;1.539
"Aranjuez";FALSE;"CEPSA";1.37233333333333;1.546;1.409;1.553;1.349;1.539
"Aranjuez";TRUE;"BP LA FALUA";1.362;NA;1.419;-Inf;1.298;Inf
"Aranjuez";TRUE;"E.LECLERC";1.362;NA;1.419;-Inf;1.298;Inf
"Aranjuez";TRUE;"EMBOCADOR";1.362;NA;1.419;-Inf;1.298;Inf
"Arapiles";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Arapiles";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Arapiles";TRUE;"LAS TORRES";1.409;NA;1.409;-Inf;1.409;Inf
"Arbeca";FALSE;"CEPSA";1.225;NA;1.225;-Inf;1.225;Inf
"Arbo";FALSE;"CAMPSA";1.368;NA;1.368;-Inf;1.368;Inf
"Arbo";TRUE;"AVIA";1.365;NA;1.365;-Inf;1.365;Inf
"Arboç (L')";FALSE;"CEPSA";1.439;1.619;1.459;1.619;1.419;1.619
"Arboç (L')";FALSE;"REPSOL";1.439;1.619;1.459;1.619;1.419;1.619
"Arboç (L')";TRUE;"TAMOIL";1.419;NA;1.419;-Inf;1.419;Inf
"Arboleas";TRUE;"E.S.ARBOLEAS";1.229;NA;1.249;-Inf;1.209;Inf
"Arboleas";TRUE;"MORA OIL";1.229;NA;1.249;-Inf;1.209;Inf
"Arbúcies";FALSE;"REPSOL";1.429;NA;1.429;-Inf;1.429;Inf
"Arbúcies";TRUE;"ZONA DIESEL";1.229;NA;1.269;-Inf;1.189;Inf
"Arbúcies";TRUE;"BONAREA";1.229;NA;1.269;-Inf;1.189;Inf
"Archena";FALSE;"REPSOL";1.369;NA;1.369;-Inf;1.369;Inf
"Archena";FALSE;"REPSOL";1.369;NA;1.369;-Inf;1.369;Inf
"Archena";TRUE;"HLH";1.286;1.409;1.3;1.409;1.279;1.409
"Archena";TRUE;"24H";1.286;1.409;1.3;1.409;1.279;1.409
"Archena";TRUE;"MONAKO";1.286;1.409;1.3;1.409;1.279;1.409
"Archidona";FALSE;"REPSOL";1.389;NA;1.399;-Inf;1.379;Inf
"Archidona";FALSE;"CEPSA";1.389;NA;1.399;-Inf;1.379;Inf
"Archidona";TRUE;"AGLA";1.294;NA;1.359;-Inf;1.229;Inf
"Archidona";TRUE;"LA PURISIMA";1.294;NA;1.359;-Inf;1.229;Inf
"Arcos";TRUE;"NORPETROL ARCOS";1.249;NA;1.249;-Inf;1.249;Inf
"Arcos (Los)";FALSE;"CEPSA";1.449;NA;1.449;-Inf;1.449;Inf
"Arcos (Los)";TRUE;"A.N. ENERGETICOS LOS ARCOS";1.2915;NA;1.299;-Inf;1.284;Inf
"Arcos (Los)";TRUE;"CAN S.L.";1.2915;NA;1.299;-Inf;1.284;Inf
"Arcos de Jalón";FALSE;"GALP";1.39766666666667;1.563;1.409;1.563;1.385;1.563
"Arcos de Jalón";FALSE;"CEPSA";1.39766666666667;1.563;1.409;1.563;1.385;1.563
"Arcos de Jalón";FALSE;"REPSOL";1.39766666666667;1.563;1.409;1.563;1.385;1.563
"Arcos de Jalón";TRUE;"GHC SORIA";1.187;NA;1.187;-Inf;1.187;Inf
"Arcos de la Frontera";FALSE;"CEPSA";1.36133333333333;1.573;1.409;1.573;1.298;1.573
"Arcos de la Frontera";FALSE;"REPSOL";1.36133333333333;1.573;1.409;1.573;1.298;1.573
"Arcos de la Frontera";FALSE;"CEPSA";1.36133333333333;1.573;1.409;1.573;1.298;1.573
"Arcos de la Frontera";TRUE;"GARRUCHO";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;"CARREFOUR";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;"ARGOMAR";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;"BALLENOIL";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;".ES CABURANTES";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;"ES EL PERAL";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Arcos de la Frontera";TRUE;"BP OIL ESPAÑA S.A.";1.35014285714286;NA;1.379;-Inf;1.309;Inf
"Ardales";TRUE;"AGLA";1.3025;NA;1.316;-Inf;1.289;Inf
"Ardales";TRUE;"AGRARIA DEL TURON";1.3025;NA;1.316;-Inf;1.289;Inf
"Ardón";FALSE;"CAMPSA";1.389;NA;1.389;-Inf;1.389;Inf
"Arén";TRUE;"ESTACION SERVICIO BONET SL";1.35;NA;1.35;-Inf;1.35;Inf
"Arenales de San Gregorio";TRUE;"VIRGEN DE LAS VIÑAS";NA;NA;-Inf;-Inf;Inf;Inf
"Arenas de Iguña";TRUE;"PETRONOR";1.399;NA;1.399;-Inf;1.399;Inf
"Arenas de San Juan";FALSE;"REPSOL";1.417;NA;1.417;-Inf;1.417;Inf
"Arenas de San Juan";TRUE;"SAN BERNABE";1.24;NA;1.24;-Inf;1.24;Inf
"Arenas de San Pedro";TRUE;"FERNANDEZ BERMEJO";1.369;NA;1.369;-Inf;1.369;Inf
"Arenas de San Pedro";TRUE;"FERNANDEZ BERMEJO";1.369;NA;1.369;-Inf;1.369;Inf
"Arenys de Mar";TRUE;"BP ARENYS DE MAR";1.399;NA;1.429;-Inf;1.369;Inf
"Arenys de Mar";TRUE;"PETROMARESWAGEN";1.399;NA;1.429;-Inf;1.369;Inf
"Arenys de Mar";TRUE;"P FUEL EXPRESS";1.399;NA;1.429;-Inf;1.369;Inf
