"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"FYDEMSA";"CARRETERA JARANDILLA KM. 1,00";"NAVALMORAL DE LA MATA";"Navalmoral de la Mata";"10";14114
"REPSOL";"CARRETERA CC 054 KM. 2,300";"NAVALMORAL DE LA MATA";"Navalmoral de la Mata";"10";11755
"SOCIEDAD COOPERATIVA SAN MIGUEL ARCANGEL";"CALLE LAGUNA, 24";"PALOMERO";"Palomero";"10";14822
"ESTACION SERVICIO NTRA SRA DE LA BLANCA";"CARRETERA PASARON ARROYOMOLINOS DE LA VERA KM. 1,5";"PASARON DE LA VERA";"Pasarón de la Vera";"10";13303
"GALP";"AUTOVIA CTRA A-5, KM 171 - POL. PUERTA DE EXTREMADURA PARC 80-81-82 KM. 171";"PERALEDA DE LA MATA";"Peraleda de la Mata";"10";14270
"REPSOL";"AUTOVIA AUTOVIA KM. 174";"PERALEDA DE LA MATA";"Peraleda de la Mata";"10";7591
"COOP. SAN JOSE";"PASEO LA FERIA, S/N";"PIORNAL";"Piornal";"10";10277
"SETTRAN";"CARRETERA N-630 KM. 475,5";"PLASENCIA";"Plasencia";"10";13337
"SHELL";"CALLE BELGICA ESQUINA TRAVESÍA ADELARDO LOPEZ AYER, S/N";"PLASENCIA";"Plasencia";"10";13968
"CARREFOUR";"CALLE C/ JULIAN BESTEIRO S/N, S/N";"PLASENCIA";"Plasencia";"10";5855
"NO";"AVENIDA PLASENCIA, S/N";"RIOLOBOS";"Riolobos";"10";14473
"SAT TAB";"CALLE ALCANTARILLA, 3";"TALAYUELA";"Talayuela";"10";13637
"SDAD COOP SAN LUCAS DEL TORNO";"CARRETERA EL TORNO - CABEZABELLOSA KM. 0,800";"TORNO (EL)";"Torno (El)";"10";12367
"REPSOL";"CR A-5 P.K. 240,00 I";"TRUJILLO";"Trujillo";"10";5892
"CEPSA";"AUTOVIA A-5 KM. 244,6";"TRUJILLO";"Trujillo";"10";5877
"COPRECA";"CARRETERA ANTIGUA NACIONAL V KM. 250";"TRUJILLO";"Trujillo";"10";14078
"AGRUPACION COOP. VALLE DEL JERTE";"CARRETERA NACIONAL 110 KM. 381,000";"VALDASTILLAS";"Valdastillas";"10";12904
"GALP";"POLIGONO INDUSTRIAL CERRO DE SAN FRANCISCO, 9";"VALENCIA DE ALCANTARA";"Valencia de Alcántara";"10";14356
"COOP. EL PEDROSO";"CAMINO CERRO DE LAS CHOZAS, S/N";"VILLAR DEL PEDROSO";"Villar del Pedroso";"10";13068
"E.S. BFUEL ALGECIRAS";"AVENIDA DEL ESTRECHO, 7";"ALGECIRAS";"Algeciras";"11";13076
"Q8";"CARRETERA CTRA. N. 340 KM. KM 107,32";"ALGECIRAS";"Algeciras";"11";6553
"REPSOL";"PASEO VICTORIA EUGENIA, S/N";"ALGECIRAS";"Algeciras";"11";5733
"PLENOIL";"AVENIDA GESTO POR LA PAZ, 106";"ALGECIRAS";"Algeciras";"11";14968
"CEPSA";"AVENIDA GAITAN AYALA (PUERTO ALGECIRAS-ISLA VERDE), S/N";"ALGECIRAS";"Algeciras";"11";13131
"CARREFOUR";"CARRETERA CADIZ MALAGA (C.C. EROSKI) KM. 106,25";"ALGECIRAS";"Algeciras";"11";5571
"BP";"CARRETERA N-IV KM. 107,5";"ALGECIRAS";"Algeciras";"11";9495
"BALLENOIL";"TERRENOS PP MENACHA (S.EJ.), 9";"ALGECIRAS";"Algeciras";"11";13725
"Q8";"CARRETERA CÁDIZ - MÁLAGA KM. 108,5";"ALGECIRAS";"Algeciras";"11";14988
"LA CALLE DEL MOTOR";"AVENIDA DE LA UNION, 21";"ALGECIRAS";"Algeciras";"11";14867
"CARREFOUR";"CARRETERA CRTA. NACIONAL N-342 KM. 26,8";"ARCOS DE LA FRONTERA";"Arcos de la Frontera";"11";5603
"CEPSA";"CARRETERA A-382 KM. 26,8";"ARCOS DE LA FRONTERA";"Arcos de la Frontera";"11";5702
"BALLENOIL";"CALLE CRUZ DE LAS CARRERAS P9-10-11, 9";"ARCOS DE LA FRONTERA";"Arcos de la Frontera";"11";13458
".ES CABURANTES";"CALLE SOLEÁ, 902";"ARCOS DE LA FRONTERA";"Arcos de la Frontera";"11";13477
".ES CARBURANTES";"POLIGONO EL OLIVAR, PARCELA 5.1, 5.1";"BARBATE";"Barbate";"11";12832
"REPSOL";"CARRETERA A-381 KM. 94";"BARRIOS (LOS)";"Barrios (Los)";"11";10861
"CARREFOUR";"CARRETERA CADIZ-MALAGA KM. 112,9";"BARRIOS (LOS)";"Barrios (Los)";"11";5579
"BP LA MONTERA";"CALLE GLORIETA LA MONTERA, S/N";"BARRIOS (LOS)";"Barrios (Los)";"11";6993
"BP EL FRESNO";"POLIGONO ZAL BAHIA DE ALGECIRAS AREA EL FRESNO,";"BARRIOS (LOS)";"Barrios (Los)";"11";12258
"CEPSA";"CARRETERA N-340 KM. 110,8";"BARRIOS (LOS)";"Barrios (Los)";"11";5706
"NIEVES";"POLIGONO C.C. BAHIA PLAZA, S/N";"BARRIOS (LOS)";"Barrios (Los)";"11";13841
"PLENOIL";"CARRETERA CENTRAL TÉRMICA KM. 2";"PALMONES";"Barrios (Los)";"11";14994
"GACOSUR PALMONES";"POLIGONO P.I.MARISMAS DE PALMONES C/ MAR CANTABRICO PARCELA IT 2.12, 2,12";"PALMONES";"Barrios (Los)";"11";13661
"E.S NTRA SRA DEL ROSARIO";"POLIGONO CANTARRANAS IND, 1";"BORNOS";"Bornos";"11";13809
"PETROL & GO";"CALLE CASTELLAR DE LA FRONTERA, 4";"CADIZ";"Cádiz";"11";14533
"BP LA PEÑITA DE CADIZ";"AVENIDA ALCALDE SANCHEZ COSSIO, 1";"CADIZ";"Cádiz";"11";11422
"CLC";"AVENIDA ALCALDE MANUEL DE LA PINTA, 25";"CADIZ";"Cádiz";"11";14306
"HEMEGAS";"CALLE ALGECIRAS, 4";"CADIZ";"Cádiz";"11";14278
"RADIOTAXI";"CALLE CHICLANA, S/N";"CADIZ";"Cádiz";"11";11893
"BP CADIZ";"CL AVENIDA CAYETANO DEL TORO, 32";"CADIZ";"Cádiz";"11";6895
"LAVAOIL";"CAMINO HUERTA PITON, 1";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";14103
"BALLENOIL";"CALLE ELECTRICISTAS LOS, 1";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";14993
"CLC CALIDAD LOW COST";"CALLE SEVERO OCHOA, 23";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";13114
"Q8";"CAMINO DE FUENTE AMARGA, 114";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";14983
"PETROPRIX";"AVENIDA DEL MUEBLE, 56";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";15127
"PETROPRIX CHICLANA";"AVENIDA MUEBLE DEL, 28";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";12941
"BP LA BAHIA";"POLIGONO EL TORNO, AVDA. DESCUBRIMIENTOS ESQ. ALAMEDA DE SOLANO, S/N";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";5743
"BP URBISUR";"POLIGONO EL TORNO II, S/N";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";6725
"BP";"CARRETERA MEDINA KM. 1";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";14793
"BP EL FLORIN";"CARRETERA FUENTE AMARGA KM. 151";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";12605
"EASYFUEL";"URBANIZACIÓN PARCELA 2 DEL SUNC-TU 24 \"CAMINO DEL LOBO 1\", 1";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";13466
"BALLENOIL";"AVENIDA DE LOS DESCUBRIMIENTOS, 64";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";13590
"CLC";"AVENIDA BAHIA DE ALGECIRAS, 2";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";14305
